time_ms,light_sensor
15003850,637
15004373,632
15004897,640
15005418,637
15005941,637
15006464,637
15006987,638
15007511,637
15008034,638
15008557,638
15009080,637
15009604,637
15010127,638
15010650,637
15011177,638
15011700,638
15012223,637
15012746,644
15013269,638
15013793,637
15014316,638
15014839,637
15015362,640
15015885,637
15016408,638
15016935,637
15017458,637
15017982,636
15018505,635
15019028,637
15019551,637
15020074,638
15020598,638
15021121,637
15021644,637
15022167,637
15022694,638
15023217,638
15023740,638
15024263,636
15024786,637
15025310,640
15025833,637
15026356,638
15026879,637
15027403,640
15027926,637
15028452,637
15028976,637
15029499,638
15030022,637
15030545,639
15031068,638
15031591,638
15032115,639
15032638,637
15033161,638
15033684,637
15034211,637
15034734,637
15035257,638
15035780,637
15036303,638
15036826,638
15037349,638
15037873,637
15038396,640
15038919,637
15039442,637
15039965,637
15040491,642
15041015,639
15041538,637
15042061,637
15042584,637
15043107,637
15043630,638
15044154,638
15044677,638
15045200,638
15045723,638
15046250,638
15046778,637
15047301,637
15047824,637
15048347,638
15048871,638
15049394,638
15049917,637
15050440,638
15050964,637
15051487,638
15052013,638
15052537,637
15053060,637
15053584,638
15054107,638
15054630,640
15055153,638
15055676,637
15056200,642
15056723,637
15057246,638
15057773,637
15058296,637
15058820,637
15059343,637
15059866,638
15060390,638
15060913,637
15061436,638
15061960,638
15062483,638
15063006,643
15063533,636
15064056,638
15064579,638
15065103,637
15065626,638
15066149,638
15066672,638
15067196,638
15067719,638
15068242,639
15068766,639
15069292,637
15069816,638
15070339,638
15070862,638
15071386,638
15071909,637
15072432,638
15072955,637
15073478,635
15074002,638
15074525,638
15075052,637
15075575,638
15076098,638
15076622,638
15077145,637
15077668,637
15078192,637
15078715,637
15079238,638
15079761,638
15080285,638
15080812,638
15081335,638
15081858,636
15082381,638
15082904,637
15083428,639
15083951,638
15084474,637
15084997,638
15085520,638
15086044,637
15086567,638
15087093,639
15087616,638
15088140,638
15088663,638
15089186,638
15089710,637
15090233,638
15090756,637
15091280,637
15091803,639
15092326,638
15092853,638
15093377,637
15093900,638
15094423,637
15094947,637
15095470,638
15095994,638
15096517,637
15097040,638
15097564,639
15098087,637
15098614,637
15099138,638
15099661,637
15100184,638
15100708,637
15101231,638
15101755,637
15102278,637
15102802,637
15103325,638
15103848,637
15104376,638
15104899,638
15105422,638
15105946,637
15106469,639
15106993,636
15107516,638
15108039,637
15108563,636
15109086,638
15109609,635
15110137,636
15110660,637
15111183,638
15111707,638
15112230,637
15112754,638
15113277,637
15113801,637
15114324,638
15114847,637
15115371,637
15115898,637
15116421,637
15116945,637
15117468,638
15117991,637
15118515,637
15119038,637
15119562,637
15120085,637
15120609,638
15121132,637
15121659,637
15122183,637
15122706,638
15123229,637
15123753,637
15124276,637
15124799,637
15125323,637
15125846,638
15126370,637
15126893,637
15127420,637
15127944,641
15128467,637
15128990,637
15129513,638
15130037,637
15130560,637
15131084,637
15131607,637
15132130,637
15132653,637
15133177,638
15133715,636
15134240,637
15134765,637
15135290,638
15135815,637
15136341,637
15136866,637
15137391,637
15137916,637
15138441,637
15138966,636
15139489,637
15140015,638
15140540,636
15141065,637
15141590,637
15142116,638
15142641,637
15143166,639
15143692,638
15144217,637
15144742,638
15145271,638
15145796,638
15146321,638
15146847,637
15147372,637
15147897,637
15148422,637
15148947,637
15149473,638
15149998,637
15150523,638
15151052,637
15151577,636
15152103,636
15152628,637
15153153,637
15153678,636
15154203,637
15154729,637
15155254,636
15155779,636
15156305,637
