time,time_ms,load_g
2021-03-20 12:08:12,492275,-87.77
2021-03-20 12:08:12,493074,-87.77
2021-03-20 12:08:13,493872,-87.93
2021-03-20 12:08:14,494671,-88.07
2021-03-20 12:08:15,495469,-88.45
2021-03-20 12:08:16,496268,-84.27
2021-03-20 12:08:16,497066,-83.26
2021-03-20 12:08:17,497865,-80.07
2021-03-20 12:08:18,498663,-83.54
2021-03-20 12:08:19,499462,-83.56
2021-03-20 12:08:20,500260,-83.91
2021-03-20 12:08:20,501059,-77.93
2021-03-20 12:08:21,501857,-57.39
2021-03-20 12:08:22,502656,-54.18
2021-03-20 12:08:23,503454,-30.86
2021-03-20 12:08:24,504253,-43.6
2021-03-20 12:08:24,505051,-44.9
2021-03-20 12:08:25,505849,-41.69
2021-03-20 12:08:26,506648,-33.6
2021-03-20 12:08:27,507446,-46.85
2021-03-20 12:08:28,508244,-69.65
2021-03-20 12:08:28,509043,-56.66
2021-03-20 12:08:29,509841,-58.8
2021-03-20 12:08:30,510639,-72.25
2021-03-20 12:08:31,511438,-73.55
2021-03-20 12:08:32,512236,-70.21
2021-03-20 12:08:32,513034,-71.74
2021-03-20 12:08:33,513832,-69.08
2021-03-20 12:08:34,514630,-75.76
2021-03-20 12:08:35,515429,-90.08
2021-03-20 12:08:36,516227,-86.64
2021-03-20 12:08:36,517025,-85.11
2021-03-20 12:08:37,517823,-73.68
2021-03-20 12:08:38,518622,-72.92
2021-03-20 12:08:39,519420,-58.81
2021-03-20 12:08:40,520219,70.4
2021-03-20 12:08:40,521017,80.39
2021-03-20 12:08:41,521816,98.54
2021-03-20 12:08:42,522615,83.39
2021-03-20 12:08:43,523413,59.86
2021-03-20 12:08:44,524212,-39.72
2021-03-20 12:08:44,525010,-87.47
2021-03-20 12:08:45,525809,-114.4
2021-03-20 12:08:46,526607,-117.38
2021-03-20 12:08:47,527406,-127.45
2021-03-20 12:08:48,528204,-174.91
