time,time_ms,quality_sensor
2021-02-28 17:18:57,593001,53.0
2021-02-28 17:18:58,594020,53.0
2021-02-28 17:18:59,595043,53.0
2021-02-28 17:19:00,596062,52.0
2021-02-28 17:19:01,597082,53.0
2021-02-28 17:19:02,598101,53.0
2021-02-28 17:19:03,599121,53.0
2021-02-28 17:19:04,600144,53.0
2021-02-28 17:19:05,601163,53.0
2021-02-28 17:19:07,602182,54.0
2021-02-28 17:19:08,603202,53.0
2021-02-28 17:19:09,604221,53.0
2021-02-28 17:19:10,605244,53.0
2021-02-28 17:19:11,606264,53.0
2021-02-28 17:19:12,607283,54.0
2021-02-28 17:19:13,608302,54.0
2021-02-28 17:19:14,609322,53.0
2021-02-28 17:19:15,610345,53.0
2021-02-28 17:19:16,611364,53.0
2021-02-28 17:19:17,612384,53.0
2021-02-28 17:19:18,613403,53.0
2021-02-28 17:19:19,614422,54.0
2021-02-28 17:19:20,615445,53.0
2021-02-28 17:19:21,616464,54.0
2021-02-28 17:19:22,617484,53.0
2021-02-28 17:19:23,618503,53.0
2021-02-28 17:19:24,619523,53.0
2021-02-28 17:19:25,620546,53.0
2021-02-28 17:19:26,621565,52.0
2021-02-28 17:19:27,622584,53.0
2021-02-28 17:19:28,623604,53.0
2021-02-28 17:19:29,624623,52.0
2021-02-28 17:19:30,625655,53.0
2021-02-28 17:19:31,626675,53.0
2021-02-28 17:19:32,627695,52.0
2021-02-28 17:19:33,628714,53.0
2021-02-28 17:19:34,629737,52.0
2021-02-28 17:19:35,630757,52.0
2021-02-28 17:19:36,631776,51.0
2021-02-28 17:19:37,632796,52.0
2021-02-28 17:19:38,633816,51.0
2021-02-28 17:19:39,634839,51.0
2021-02-28 17:19:40,635859,51.0
2021-02-28 17:19:41,636879,50.0
2021-02-28 17:19:42,637898,51.0
2021-02-28 17:19:43,638918,51.0
2021-02-28 17:19:44,639941,52.0
2021-02-28 17:19:45,640961,52.0
2021-02-28 17:19:46,641981,51.0
2021-02-28 17:19:47,643000,52.0
2021-02-28 17:19:48,644020,52.0
2021-02-28 17:19:49,645044,52.0
2021-02-28 17:19:50,646063,52.0
2021-02-28 17:19:51,647083,51.0
2021-02-28 17:19:52,648103,51.0
2021-02-28 17:19:53,649122,50.0
2021-02-28 17:19:54,650146,51.0
2021-02-28 17:19:55,651165,51.0
2021-02-28 17:19:57,652185,51.0
2021-02-28 17:19:58,653205,51.0
2021-02-28 17:19:59,654224,51.0
2021-02-28 17:20:00,655248,52.0
2021-02-28 17:20:01,656268,51.0
2021-02-28 17:20:02,657287,50.0
2021-02-28 17:20:03,658307,51.0
2021-02-28 17:20:04,659327,51.0
2021-02-28 17:20:05,660350,52.0
2021-02-28 17:20:06,661370,50.0
2021-02-28 17:20:07,662389,51.0
2021-02-28 17:20:08,663409,50.0
2021-02-28 17:20:09,664428,50.0
2021-02-28 17:20:10,665451,50.0
2021-02-28 17:20:11,666471,50.0
2021-02-28 17:20:12,667491,50.0
2021-02-28 17:20:13,668510,51.0
2021-02-28 17:20:14,669530,51.0
2021-02-28 17:20:15,670553,52.0
2021-02-28 17:20:16,671573,50.0
2021-02-28 17:20:17,672593,50.0
2021-02-28 17:20:18,673613,51.0
